date,kickoff,home,away,market,mwos_odds,model_prob,book_prob_devig,overround_1x2,ev_per_unit,kelly_frac,signal
2026-09-06,16:15,Valencia,Barcelona,X2,3.25,0.7578,,0.0476,1.4628,0.6502,STRONG
2026-09-06,16:15,Valencia,Barcelona,HOME (1),9.0,0.2422,0.1061,0.0476,1.1798,0.1475,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,X2,2.7,0.736,,0.0546,0.9872,0.5807,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,HOME (1),7.0,0.2641,0.1355,0.0546,0.8487,0.1414,STRONG
2026-09-05,16:15,Bilbao,Atletico,HOME (1),3.0,0.4354,0.3176,0.0494,0.3062,0.1531,STRONG
2026-09-06,16:15,Valencia,Barcelona,DRAW (X),6.2,0.2081,0.154,0.0476,0.2902,0.0558,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,1X,1.78,0.7126,,0.0503,0.2684,0.3441,STRONG
2026-09-04,20:30,Las Palmas,Leganes,1X,1.81,0.6927,,0.1102,0.2538,0.3133,STRONG
2026-09-04,20:30,Las Palmas,Leganes,AWAY (2),4.0,0.3073,0.2252,0.1102,0.2292,0.0764,STRONG
2026-09-06,18:30,Alaves,Osasuna,Over 2.5,2.42,0.5071,,0.0472,0.2272,0.16,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,DRAW (X),5.2,0.222,0.1824,0.0546,0.1544,0.0368,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,Over 2.5,1.84,0.6195,,0.0503,0.1399,0.1665,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,AWAY (2),3.95,0.2873,0.241,0.0503,0.1348,0.0457,STRONG
2026-09-06,18:30,Alaves,Osasuna,1X,1.56,0.718,,0.0472,0.1201,0.2144,STRONG
2026-09-06,18:30,Alaves,Osasuna,BTTS Yes,2.05,0.5376,,0.0472,0.1021,0.0972,STRONG
2026-09-05,16:15,Bilbao,Atletico,Over 2.5,1.86,0.5916,,0.0494,0.1004,0.1167,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,Under 2.5,2.9,0.3785,,0.0546,0.0976,0.0514,BUY
2026-09-06,16:15,Valencia,Barcelona,BTTS Yes,1.68,0.6472,,0.0476,0.0873,0.1284,BUY
2026-09-04,20:30,Las Palmas,Leganes,Over 2.5,2.02,0.5382,,0.1102,0.0872,0.0855,BUY
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS Yes,1.73,0.6245,,0.0503,0.0804,0.1101,BUY
2026-09-06,18:30,Alaves,Osasuna,HOME (1),2.3,0.468,0.4152,0.0472,0.0764,0.0588,BUY
2026-09-04,20:30,Las Palmas,Leganes,BTTS Yes,1.87,0.5668,,0.1102,0.0599,0.0689,BUY
2026-09-06,18:30,Alaves,Osasuna,12,1.38,0.75,,0.0472,0.035,0.0921,BUY
2026-09-05,16:15,Bilbao,Atletico,12,1.34,0.7637,,0.0494,0.0234,0.0687,BUY
2026-09-05,16:15,Bilbao,Atletico,BTTS Yes,1.67,0.6108,,0.0494,0.02,0.0299,BUY
2026-09-03,21:00,Real Sociedad,Celta Vigo,12,1.3,0.7738,,0.0503,0.0059,0.0198,MARGINAL
2026-09-04,20:30,Las Palmas,Leganes,12,1.32,0.7541,,0.1102,-0.0046,0.0,AVOID
2026-09-06,18:30,Alaves,Osasuna,AWAY (2),3.45,0.282,0.2768,0.0472,-0.0271,0.0,AVOID
2026-09-06,16:15,Valencia,Barcelona,Under 2.5,2.9,0.332,,0.0476,-0.0372,0.0,AVOID
2026-09-04,21:00,Real Betis,Real Madrid,BTTS Yes,1.55,0.6194,,0.0546,-0.0399,0.0,AVOID
2026-09-03,21:00,Real Sociedad,Celta Vigo,HOME (1),1.94,0.4865,0.4908,0.0503,-0.0562,0.0,AVOID
2026-09-06,16:15,Valencia,Barcelona,Over 2.5,1.37,0.668,,0.0476,-0.0848,0.0,AVOID
2026-09-04,21:00,Real Betis,Real Madrid,12,1.17,0.7781,,0.0546,-0.0896,0.0,AVOID
2026-09-05,16:15,Bilbao,Atletico,1X,1.35,0.6717,,0.0494,-0.0932,0.0,AVOID
2026-09-06,16:15,Valencia,Barcelona,12,1.13,0.7919,,0.0476,-0.1052,0.0,AVOID
2026-09-05,16:15,Bilbao,Atletico,X2,1.52,0.5646,,0.0494,-0.1418,0.0,AVOID
2026-09-04,21:00,Real Betis,Real Madrid,BTTS No,2.25,0.3806,,0.0546,-0.1436,0.0,AVOID
2026-09-04,21:00,Real Betis,Real Madrid,Over 2.5,1.37,0.6215,,0.0546,-0.1485,0.0,AVOID
2026-09-04,20:30,Las Palmas,Leganes,HOME (1),1.81,0.4468,0.4977,0.1102,-0.1913,0.0,AVOID
2026-09-05,16:15,Bilbao,Atletico,DRAW (X),3.4,0.2363,0.2803,0.0494,-0.1966,0.0,AVOID
2026-09-03,21:00,Real Sociedad,Celta Vigo,DRAW (X),3.55,0.2261,0.2682,0.0503,-0.1973,0.0,AVOID
2026-09-04,20:30,Las Palmas,Leganes,DRAW (X),3.25,0.2459,0.2772,0.1102,-0.2008,0.0,AVOID
2026-09-04,20:30,Las Palmas,Leganes,Under 2.5,1.72,0.4618,,0.1102,-0.2057,0.0,AVOID
2026-09-05,16:15,Bilbao,Atletico,BTTS No,2.02,0.3892,,0.0494,-0.2138,0.0,AVOID
2026-09-04,20:30,Las Palmas,Leganes,BTTS No,1.8,0.4332,,0.1102,-0.2202,0.0,AVOID
2026-09-05,16:15,Bilbao,Atletico,AWAY (2),2.37,0.3283,0.4021,0.0494,-0.2219,0.0,AVOID
2026-09-06,18:30,Alaves,Osasuna,DRAW (X),3.1,0.25,0.308,0.0472,-0.225,0.0,AVOID
2026-09-06,18:30,Alaves,Osasuna,BTTS No,1.66,0.4624,,0.0472,-0.2324,0.0,AVOID
2026-09-05,16:15,Bilbao,Atletico,Under 2.5,1.86,0.4084,,0.0494,-0.2404,0.0,AVOID
2026-09-06,18:30,Alaves,Osasuna,Under 2.5,1.51,0.4929,,0.0472,-0.2557,0.0,AVOID
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS No,1.96,0.3755,,0.0503,-0.264,0.0,AVOID
2026-09-03,21:00,Real Sociedad,Celta Vigo,Under 2.5,1.88,0.3805,,0.0503,-0.2847,0.0,AVOID
2026-09-04,21:00,Real Betis,Real Madrid,AWAY (2),1.39,0.514,0.6822,0.0546,-0.2855,0.0,AVOID
2026-09-06,16:15,Valencia,Barcelona,BTTS No,2.02,0.3528,,0.0476,-0.2873,0.0,AVOID
2026-09-06,16:15,Valencia,Barcelona,AWAY (2),1.29,0.5497,0.74,0.0476,-0.2909,0.0,AVOID
2026-09-06,18:30,Alaves,Osasuna,X2,1.28,0.532,,0.0472,-0.319,0.0,AVOID
2026-09-04,20:30,Las Palmas,Leganes,X2,1.2,0.5532,,0.1102,-0.3362,0.0,AVOID
2026-09-03,21:00,Real Sociedad,Celta Vigo,X2,1.22,0.5134,,0.0503,-0.3737,0.0,AVOID
2026-09-04,21:00,Real Betis,Real Madrid,1X,1.09,0.4861,,0.0546,-0.4702,0.0,AVOID
2026-09-06,16:15,Valencia,Barcelona,1X,1.06,0.4503,,0.0476,-0.5227,0.0,AVOID
