date,kickoff,home,away,market,mwos_odds,p_model,p_blend,ev_per_unit,kelly_full,kelly_quarter,overround_1x2,signal
2026-09-03,21:00,Real Sociedad,Celta Vigo,Over 2.5,1.84,0.6195,0.6195,0.1399,0.1665,0.0416,0.0503,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,AWAY (2),3.95,0.2873,0.2873,0.1348,0.0457,0.0114,0.0503,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS Yes,1.73,0.6245,0.6245,0.0804,0.1101,0.0275,0.0503,STRONG
2026-09-03,21:00,Real Sociedad,Celta Vigo,12,1.3,0.7738,0.7738,0.0059,0.0198,0.005,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,HOME (1),1.94,0.4865,0.4865,-0.0562,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,X2,1.78,0.5134,0.5134,-0.0861,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,1X,1.22,0.7126,0.7126,-0.1306,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,DRAW (X),3.55,0.2261,0.2261,-0.1973,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,BTTS No,1.96,0.3755,0.3755,-0.264,0.0,0.0,0.0503,SKIP
2026-09-03,21:00,Real Sociedad,Celta Vigo,Under 2.5,1.88,0.3805,0.3805,-0.2847,0.0,0.0,0.0503,SKIP
2026-09-04,20:30,Las Palmas,Leganes,AWAY (2),4.0,0.3073,0.3073,0.2292,0.0764,0.0191,0.1102,STRONG
2026-09-04,20:30,Las Palmas,Leganes,Over 2.5,2.02,0.5382,0.5382,0.0872,0.0855,0.0214,0.1102,STRONG
2026-09-04,20:30,Las Palmas,Leganes,BTTS Yes,1.87,0.5668,0.5668,0.0599,0.0689,0.0172,0.1102,BUY
2026-09-04,20:30,Las Palmas,Leganes,X2,1.81,0.5532,0.5532,0.0013,0.0016,0.0004,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,12,1.32,0.7541,0.7541,-0.0046,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,1X,1.2,0.6927,0.6927,-0.1688,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,HOME (1),1.81,0.4468,0.4468,-0.1913,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,DRAW (X),3.25,0.2459,0.2459,-0.2008,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,Under 2.5,1.72,0.4618,0.4618,-0.2057,0.0,0.0,0.1102,SKIP
2026-09-04,20:30,Las Palmas,Leganes,BTTS No,1.8,0.4332,0.4332,-0.2202,0.0,0.0,0.1102,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,HOME (1),7.0,0.2641,0.2641,0.8487,0.1414,0.0354,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,1X,2.7,0.4861,0.4861,0.3125,0.1838,0.046,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,DRAW (X),5.2,0.222,0.222,0.1544,0.0368,0.0092,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,Under 2.5,2.9,0.3785,0.3785,0.0976,0.0514,0.0128,0.0546,STRONG
2026-09-04,21:00,Real Betis,Real Madrid,BTTS Yes,1.55,0.6194,0.6194,-0.0399,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,12,1.17,0.7781,0.7781,-0.0896,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,BTTS No,2.25,0.3806,0.3806,-0.1436,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,Over 2.5,1.37,0.6215,0.6215,-0.1485,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,X2,1.09,0.736,0.736,-0.1978,0.0,0.0,0.0546,SKIP
2026-09-04,21:00,Real Betis,Real Madrid,AWAY (2),1.39,0.514,0.514,-0.2855,0.0,0.0,0.0546,SKIP
2026-09-05,16:15,Bilbao,Atletico,HOME (1),3.0,0.4354,0.4354,0.3062,0.1531,0.0383,0.0494,STRONG
2026-09-05,16:15,Bilbao,Atletico,Over 2.5,1.86,0.5916,0.5916,0.1004,0.1167,0.0292,0.0494,STRONG
2026-09-05,16:15,Bilbao,Atletico,12,1.34,0.7637,0.7637,0.0234,0.0687,0.0172,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,1X,1.52,0.6717,0.6717,0.021,0.0404,0.0101,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,BTTS Yes,1.67,0.6108,0.6108,0.02,0.0299,0.0075,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,DRAW (X),3.4,0.2363,0.2363,-0.1966,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,BTTS No,2.02,0.3892,0.3892,-0.2138,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,AWAY (2),2.37,0.3283,0.3283,-0.2219,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,X2,1.35,0.5646,0.5646,-0.2378,0.0,0.0,0.0494,SKIP
2026-09-05,16:15,Bilbao,Atletico,Under 2.5,1.86,0.4084,0.4084,-0.2404,0.0,0.0,0.0494,SKIP
